gloss_input,english_input,filipino_output,origin,context_tag
I RECEIVE,I receive.,Tumatanggap ako.,FSL,neutral
NIGHT THEY SCARED,At night they are scared.,Takot sila sa gabi.,ASL,emotion
I COUNT ONE TWO THREE,I count one two three.,Binibilang ko isa dalawa tatlo.,FSL,number
I MUST GO HOME NOW,I must go home now.,Kailangan kong umuwi ngayon.,FSL,place
I NO LIKE,I don't like it.,Hindi ko gusto.,FSL,neutral
SHE DRINK YESTERDAY MORNING,She drank yesterday morning.,Uminom siya kahapon ng umaga.,FSL,time
I NEVER ANGRY,I'm never angry.,Hindi ako kailanman galit.,FSL,time
I HAPPY,I am happy.,Masaya ako.,FSL,emotion
I THANK YOU,I thank you.,Nagpapasalamat ako sa iyo.,FSL,neutral
I NOT YET GO,I haven't gone yet.,Hindi pa ako pumunta.,FSL,time
I DOUBT IT,I doubt it.,Duda ako dito.,FSL,neutral
YOU HAVE FIVE FRIEND GOOD,You have five good friends.,Mayroon kang limang mabuting kaibigan.,FSL,number
YOU TIRED,You are tired.,Pagod ka.,FSL,emotion
I HAVE TIME,I have time.,Mayroon akong oras.,FSL,neutral
NICE MEET YOU TODAY,Nice meeting you today.,Ikinagalak kong makilala ka ngayon.,MIXED,greeting
TOMORROW WE MEET,I'll meet you tomorrow.,Bukas magkikita tayo.,FSL,time
I LITTLE HAPPY,I am a little happy.,Medyo masaya ako.,FSL,emotion
I STILL WAIT,I am still waiting.,Naghihintay pa rin ako.,FSL,time
THEY EXCITED SCHOOL,They are excited at school.,Nasasabik sila sa paaralan.,FSL,place
WE EAT YESTERDAY,We ate yesterday.,Kumain tayo kahapon.,FSL,time
I PLAN,I plan.,Nagpaplano ako.,FSL,neutral
YOU NO SAD,You're not sad.,Hindi ka malungkot.,FSL,emotion
YOU WHATSUP,What's the matter with you?,Ano ang balita mo?,ASL,question
YOU NEED LESS WATER,You need less water.,Kailangan mo ng mas kaunting tubig.,FSL,number
READ YOU,You read.,Nagbabasa ka.,ASL,action
RUN HE,He's running.,Tumatakbo siya.,ASL,action
I PLAY MORNING,I'll play in the morning.,Naglalaro ako sa umaga.,FSL,action
YOU LIKE WHITE,You like white.,Gusto mo ng puti.,FSL,color
FATHER YOU LOVE,You love your father.,Mahal mo ang iyong ama.,ASL,people
HE SELDOM HAPPY,He's rarely happy.,Bihirang masaya siya.,FSL,emotion
THREE HE HAVE,He's got three.,Mayroon siyang tatlo.,ASL,number
MORNING SHE DRINK,She drinks in the morning.,Umiinom siya sa umaga.,ASL,common_verbs
YOU HAVE THREE,You have three.,Mayroon kang tatlo.,FSL,number
YOU FEEL THIRSTY,You feel thirsty.,Uhaw ka.,FSL,neutral
PHONE SHE USE,She uses a phone.,Gumagamit siya ng telepono.,ASL,object_things
I LEARN,I learn.,Natututo ako.,FSL,neutral
HE CALL HIS FRIEND,He's calling his friend.,Tumatawag siya sa kanyang kaibigan.,FSL,people
YOU RECEIVE,You get it.,Tumatanggap ka.,FSL,neutral
I UNDERSTAND NOW,I understand now.,Naiintindihan ko na ngayon.,FSL,neutral
WE TIRED WORK,We are tired at work.,Pagod tayo sa trabaho.,FSL,place
ONE I HAVE,I have one.,Mayroon akong isa.,ASL,number
YOU LEAVE STORE,They're leaving the store.,Umaalis ka sa tindahan.,FSL,place
HE CAN WALK,He can walk.,Makakalakad siya.,FSL,action
YOU HAPPY,You're happy.,Masaya ka.,FSL,emotion
YOU CHECK,Check them out.,Sinusuri mo.,FSL,neutral
I FINISH READ,I finish reading.,Natapos akong magbasa.,FSL,action
YOU NEED FOOD,You need food.,Kailangan mo ng pagkain.,FSL,object_things
I LEARN SOMETHING,I learn something.,Natututo ako ng isang bagay.,FSL,neutral
THEY STAY FARM,They stay at the farm.,Nananatili sila sa bukid.,FSL,place
I TIRED RUN,I am tired from running.,Pagod ako sa pagtakbo.,FSL,action
HE GO SCHOOL,He's going to school.,Pumupunta siya sa paaralan.,FSL,common_verbs
YOU EXPLAIN,You explain it to me.,Ipinapaliwanag mo.,FSL,neutral
YOU COUNT FOUR FIVE SIX,You count four five six.,Binibilang mo apat lima anim.,FSL,number
YOU SURE,You are sure.,Sigurado ka.,FSL,neutral
I HOPE HE HELP,I hope he will help.,Umaasa akong tutulong siya.,FSL,neutral
TOMORROW YOU SAD,Tomorrow you'll be sad.,Malungkot ka bukas.,ASL,time
WE LIKE THEY,We like her.,Gusto natin sila.,FSL,people
WHY WE WAIT,Why do we wait?,Bakit tayo naghihintay?,FSL,question
SORRY FRIEND I LATE,Sorry friend I'm late.,Pasensya na kaibigan nahuli ako.,MIXED,greeting
SHE HAVE TWO FRIEND,She has two friends.,Mayroon siyang dalawang kaibigan.,FSL,people
YOU PLAY,You're playing.,Naglalaro ka.,FSL,common_verbs
FOUR FIVE SIX,Four five six.,Apat lima anim.,MIXED,number
THEY HOME NIGHT,They go home at night.,Umuuwi sila sa gabi.,FSL,time
GOOD NIGHT,Good night.,Magandang gabi.,FSL,greeting
YOU COME SCHOOL,You're coming to school.,Pupupunta ka sa paaralan.,FSL,place
WE RUN,We're running.,Tumatakbo tayo.,FSL,action
I UNDERSTAND,I see.,Naiintindihan ko.,FSL,neutral
PLEASE YOU COME,Please come.,Pakiusap pumunta.,FSL,imperative
YES HE HELP,Yes he will help.,Oo tutulong siya.,FSL,common_verbs
I STUDY HOME,I study at home.,Nag-aaral ako sa bahay.,FSL,place
YOU HAVE TWO MOTHER,You have two mothers.,Mayroon kang dalawang ina.,FSL,number
HE GO FROM WORK,He goes from work.,Umalis siya sa trabaho.,FSL,place
I PLAY FRIEND,I'm playing with my friend.,Naglalaro ako kasama ang aking kaibigan.,FSL,action
HE BECOME TIRED,He's getting tired.,Nagiging pagod siya.,FSL,emotion
BLACK WE LIKE,We like black.,Gusto natin ng itim.,ASL,color
YOU MESSAGE ME,You message me.,Nagmemensahe ka sa akin.,FSL,neutral
HE ANGRY YESTERDAY,He was angry yesterday.,Galit siya kahapon.,FSL,emotion
I SEE CAR,I see a car.,Nakikita ko ang kotse.,FSL,object_things
YOU WITH FATHER,You're with your father.,Kasama mo ang iyong ama.,FSL,people
I HAPPY AT HOME,I am happy at home.,Masaya ako sa bahay.,FSL,place
SHE EAT WHAT,What is she eating?,Ano ang kinakain niya?,ASL,question
I THINK I GO,I think I will go.,Sa palagay ko pupunta ako.,FSL,neutral
THEY COME HERE,They come here.,Pumupunta sila dito.,FSL,common_verbs
WE GO WHERE,Where are we going?,Saan tayo pupunta?,ASL,question
I USE PHONE,I use a phone.,Gumagamit ako ng telepono.,FSL,object_things
HE EAT FOOD YESTERDAY,He ate food yesterday.,Kumain siya ng pagkain kahapon.,FSL,common_verbs
SCHOOL YOU HAPPY,You are happy at school.,Masaya ka sa paaralan.,ASL,place
I DO MY BEST,I'll do my best.,Ginagawa ko ang aking best.,FSL,neutral
HE NOT YET COME,He hasn't come yet.,Hindi pa siya dumating.,FSL,time
WE SEE BLACK CAR,We see a black car.,Nakikita natin ang itim na kotse.,FSL,color
YOU WORRY ME,You worry about me.,Nag-aalala ka sa akin.,FSL,neutral
SHE USE PHONE,She's using a phone.,Gumagamit siya ng telepono.,FSL,object_things
YOU LIKE SCHOOL,You like school.,Gusto mo ang paaralan.,FSL,place
I START PLAY,I start playing.,Nagsisimula akong maglaro.,FSL,action
I THINK HE HELP,I think he will help.,Sa palagay ko tutulong siya.,FSL,neutral
I MEET,I meet.,Nakikipagkita ako.,FSL,neutral
YOU SAD NO HAPPY,"You're sad, not happy.",Malungkot ka hindi masaya.,MIXED,emotion
HOUSE GREEN HE HAVE,He's got a green house.,Mayroon siyang berdeng bahay.,ASL,color
THEY COME SCHOOL,They're coming to school.,Pupupunta sila sa paaralan.,FSL,place
YOU LIKE RED WHY,Why do you like red?,Bakit mo gusto ang pula?,ASL,question
I FEEL HAPPY,I feel happy.,Nakakaramdam ako ng saya.,FSL,emotion
YOU BELIEVE,You believe.,Naniniwala ka.,FSL,neutral
WHO WE MEET,Who will we meet?,Sino ang makikita natin?,FSL,question
I HAVE ONE,I got one.,Mayroon akong isa.,FSL,number
I LIVE NEAR SCHOOL,I live near the school.,Nakatira ako malapit sa paaralan.,FSL,place
I RUN,I am running.,Tumatakbo ako.,FSL,common_verbs
BE QUIET,Be quiet.,Tumahimik ka.,FSL,imperative
YOU FORGET,You forget.,Nakalimutan mo.,FSL,neutral
AFTERNOON YOU REST,In the afternoon you rest.,Sa hapon nagpapahinga ka.,FSL,time
HE GO SCHOOL WHEN,When's he going to school?,Kailan siya pumupunta sa paaralan?,ASL,question
I SEE FIVE FRIEND,I see five friends.,Nakikita ko ang limang kaibigan.,FSL,number
WE EAT TOMORROW,We'll eat tomorrow.,Kakain tayo bukas.,FSL,time
YOU WANT SMALL HOUSE,You want a little house.,Gusto mo ng maliit na bahay.,FSL,place
NIGHT THEY SCARED,They're scared at night.,Takot sila sa gabi.,ASL,emotion
WHO WE MEET,Who are we meeting?,Sino ang makikita natin?,FSL,question
HE RUN FAST HOME YESTERDAY,He walked home fast yesterday.,Tumakbo siyang mabilis pauwi kahapon.,FSL,action
STORE SHE GO,She goes to the store.,Pupunta siya sa tindahan.,ASL,place
HE WANT RUN,He wants to run.,Gusto niyang tumakbo.,FSL,action
HELLO FRIEND HOW,"Hello, friend, how are you?",Kamusta kaibigan kumusta ka?,MIXED,greeting
YOU NEED TWO MORE,You need two more.,Kailangan mo ng dalawa pa.,FSL,number
NO YOU NO COME,"No, you're not coming.",Hindi ka darating.,FSL,common_verbs
I WANT THING,I want a thing.,Gusto ko ng bagay.,FSL,object_things
SHE WALK,She walks.,Naglalakad siya.,FSL,action
HOME,Home.,Tahanan.,MIXED,place
I GO SCHOOL,I'm going to school.,Pupunta ako sa paaralan.,FSL,place
YOU NOT YET FINISH,You haven't finished yet.,Hindi ka pa tapos.,FSL,time
YOU CONFESS,You confess.,Umaamin ka.,FSL,neutral
WE,We.,Tayo.,MIXED,people
WHATSUP FRIEND,What's up friend?,Ano ang balita kaibigan?,MIXED,greeting
SHE RUN FRIEND,She's running with her girlfriend.,Tumatakbo siya kasama ang kanyang kaibigan.,FSL,action
I GO HOME,I'm going home.,Uuwi ako.,FSL,common_verbs
YOU ENJOY PLAY,You like to play.,Nag-eenjoy kang maglaro.,FSL,action
I OPEN BOOK,I open the book.,Binubuksan ko ang libro.,FSL,neutral
WHAT BOOK YOU READ,Which book are you reading?,Anong libro ang binabasa mo?,FSL,question
I HAPPY HOME FAMILY TODAY,I'm happy at home with my family today.,Masaya ako sa bahay kasama ang aking pamilya ngayon.,FSL,emotion
YOU VERY SAD LEAVE,You are very sad to leave.,Napakalungkot mong umalis.,FSL,emotion
YOU SPEAK LIE,You speak a lie.,Nagsasalita ka ng kasinungalingan.,FSL,neutral
HE MUST GO WORK,He must go to work.,Dapat siyang pumunta sa trabaho.,FSL,place
YES I GO,"Yeah, I'm going.",Oo pupunta ako.,FSL,common_verbs
I HAVE RED BOOK,I have a red book.,Mayroon akong pulang libro.,FSL,color
NICE MEET YOU,Nice to meet you.,Ikinagagalak kong makilala ka.,MIXED,greeting
HE WORK FARM,He works at the farm.,Nagtatrabaho siya sa bukid.,FSL,place
I EXPLAIN,I'll explain.,Ipinapaliwanag ko.,FSL,neutral
THEY UNDERSTAND,They understand.,Naiintindihan nila.,FSL,neutral
YOU HELP ME,You help me.,Tinutulungan mo ako.,ASL,common_verbs
SCHOOL YOU GO,You go to school.,Pupunta ka sa paaralan.,ASL,place
HE TALK FATHER,He's talking to his father.,Nakikipag-usap siya sa kanyang ama.,FSL,neutral
WE HAVE BLACK BOOK,We have a black book.,Mayroon tayong itim na libro.,FSL,color
I HELP YOU,I will help you.,Tutulungan kita.,ASL,common_verbs
YOU EAT FOOD WHAT,What food are you eating?,Anong pagkain ang kinakain mo?,ASL,question
YOU SOMETIMES LATE,You're late sometimes.,Minsan nahuhuli ka.,FSL,time
YOU DRINK WHAT,What are you drinking?,Ano ang iniinom mo?,ASL,question
I ANGRY,I am angry.,Galit ako.,FSL,emotion
YOU WORRY ABOUT ME,You worry about me.,Nag-aalala ka sa akin.,FSL,neutral
NO,No.,Hindi.,MIXED,common_verbs
THEY LOVE THEIR MOTHER,They love their mother.,Mahal nila ang kanilang ina.,FSL,people
YOU FEEL HOW,How are you feeling?,Paano ang pakiramdam mo?,ASL,question
I HAVE SEVEN,I have seven.,Mayroon akong pito.,FSL,number
PLEASE,Please.,Pakiusap.,FSL,greeting
HE BAD PERSON,He's a bad person.,Masama siyang tao.,ASL,common_verbs
I HAVE IDEA,I have an idea.,Mayroon akong ideya.,FSL,neutral
YOU THANKFUL TO ME,You're grateful to me.,Nagpapasalamat ka sa akin.,FSL,emotion
BOOK TWO YOU READ,You read two books.,Nagbabasa ka ng dalawang libro.,ASL,number
YOU THINK ABOUT ME,You think about me.,Iniisip mo ako.,FSL,neutral
YOUR FAVORITE BLUE,Your favorite is blue.,Ang paborito mo ay asul.,MIXED,color
YOU HAVE BLUE CAR,You have a blue car.,Mayroon kang asul na kotse.,FSL,color
I AT SCHOOL,I'm at school.,Nasa paaralan ako.,FSL,place
YOU WALK,You're leaving.,Naglalakad ka.,FSL,action
WE HAVE FIVE HOUSE,We have five houses.,Mayroon tayong limang bahay.,FSL,number
CAR,A car.,Isang kotse.,MIXED,object_things
I SHOW,I'll show you.,Ipinapakita ko.,FSL,neutral
I LIKE MANY THING,I like many things.,Gusto ko ng maraming bagay.,FSL,number
YOU LEARN READ,You're learning to read.,Natututo kang magbasa.,FSL,action
WE MISS THEY,We miss them.,Miss natin sila.,FSL,people
RUN HE,He runs.,Tumatakbo siya.,ASL,action
I THANK YOU,Thank you.,Nagpapasalamat ako sa iyo.,FSL,neutral
CLOSE THIS,Close this.,Isara mo ito.,FSL,imperative
WHAT TIME SHE EAT,What time does she eat?,Anong oras siya kumakain?,FSL,question
YOU TEACH SOMETHING,You're teaching something.,Nagtuturo ka ng isang bagay.,FSL,neutral
YES,Yes.,Oo.,MIXED,common_verbs
I HAPPY AT HOME,I'm happy at home.,Masaya ako sa bahay.,FSL,place
WE READ TOMORROW,We'll read tomorrow.,Magbabasa tayo bukas.,FSL,action
YOU NO COME,You don't come.,Hindi ka darating.,FSL,neutral
I MEET FRIEND,I'm meeting my friend.,Nakikita ko ang aking kaibigan.,FSL,people
WHEN YOU COME HOME,When do you come home?,Kailan ka uuwi?,FSL,question
YOU COME SCHOOL SOON,You'll be at school soon.,Pupunta ka sa paaralan mamaya.,FSL,place
FRIEND SIX THEY HAVE,They have six friends.,Mayroon silang anim na kaibigan.,ASL,number
HELLO YOU,Hello to you.,Kamusta sa iyo.,ASL,greeting
YOU COOK,You're cooking.,Nagluluto ka.,FSL,neutral
TRY THIS,Try that.,Subukan mo ito.,FSL,imperative
SHE EAT MORNING,She'll eat in the morning.,Kumakain siya sa umaga.,FSL,time
HE COUNT SEVEN EIGHT,He's counting seven eight.,Binibilang niya pito walo.,FSL,number
HE ARRIVE,He arrives.,Dumarating siya.,FSL,neutral
WE EAT TODAY,We're eating today.,Kumakain tayo ngayon.,FSL,time
SCHOOL,School.,Paaralan.,MIXED,place
I CAN GO HOME NOW,I can go home now.,Makakauwi ako ngayon.,FSL,place
PLAY I,I'm playing.,Naglalaro ako.,ASL,action
I LIKE PLAY RUN,I like to play and run.,Gusto kong maglaro at tumakbo.,FSL,action
YOU SAY NO,You say no.,Sinasabi mong hindi.,FSL,neutral
I NO WANT,I don't want to.,Hindi ko gusto.,FSL,neutral
MORNING I PLAY,In the morning I play.,Sa umaga naglalaro ako.,ASL,action
THEY LOVE MOTHER FATHER,They love their parents.,Mahal nila ang kanilang magulang.,FSL,people
I RUN,I'm running.,Tumatakbo ako.,FSL,common_verbs
YOU THANK ME,You're thanking me.,Nagpapasalamat ka sa akin.,FSL,neutral
I WORRY ABOUT YOU,I'm worried about you.,Nag-aalala ako sa iyo.,FSL,neutral
I SLEEP,I sleep.,Natutulog ako.,FSL,action
PLEASE GO THERE,Please go there.,Pakiusap pumunta ka doon.,FSL,imperative
YOU COME TODAY,You come today.,Darating ka ngayon.,FSL,time
YOU CHANGE,You're changing.,Nagbabago ka.,FSL,neutral
HE BUY,He's buying.,Bumibili siya.,FSL,neutral
YOU WANT TWO CAR BLUE,You want two blue cars.,Gusto mo ng dalawang asul na kotse.,FSL,number
I DECIDE,I'll decide.,Nagpapasya ako.,FSL,neutral
THEY GOOD FAMILY,You're a good family.,Mabuting pamilya sila.,ASL,common_verbs
TODAY SHE SCHOOL,Today she goes to school.,Ngayon pumupunta siya sa paaralan.,ASL,time
SHE SCARED,She is scared.,Takot siya.,FSL,emotion
WHEN YOU SLEEP,When do you sleep?,Kailan ka natutulog?,FSL,question
I SEND,I'm sending.,Nagpapadala ako.,FSL,neutral
WHERE THEY GO,Where do they go?,Saan sila pupunta?,FSL,question
WE MEET,We meet.,Nakikipagkita tayo.,FSL,neutral
SHE AT SCHOOL,She's at school.,Nasa paaralan siya.,FSL,place
YOUR FATHER HELP YOU,Your father will help you.,Tinutulungan ka ng iyong ama.,ASL,people
I GIVE TWO,I'll give you two.,Nagbibigay ako ng dalawa.,FSL,number
YOU WALK STORE,You walk to the store.,Naglalakad ka papuntang tindahan.,FSL,place
YOU MAKE,You're doing it.,Gumagawa ka.,FSL,neutral
HE HAVE THREE MORE,He has three more.,Mayroon siyang tatlo pa.,FSL,number
I DRINK,I'm drinking.,Umiinom ako.,FSL,common_verbs
I NOT GIVE UP,I won't give up.,Hindi ako susuko.,FSL,neutral
PURPLE THING,Purple thing.,Lila na bagay.,MIXED,color
I NEED ONE,I need one.,Kailangan ko ng isa.,FSL,number
HE TRY,He's trying.,Sinusubukan niya.,FSL,neutral
WHAT TIME SHE EAT,When does she eat?,Anong oras siya kumakain?,FSL,question
YOU PROUD OF ME,You're proud of me.,Ipinagmamalaki mo ako.,FSL,emotion
YOU SOMETIMES LATE,You are sometimes late.,Minsan nahuhuli ka.,FSL,time
THANKYOU EVERYONE,Thanks to everyone.,Salamat sa inyong lahat.,FSL,greeting
STOP,Stop it.,Tigil.,MIXED,common_verbs
I DO MY BEST,I do my best.,Ginagawa ko ang aking best.,FSL,neutral
I STOP READ,I stop reading.,Tumitigil akong magbasa.,FSL,action
TODAY I EAT,Today I eat.,Kumakain ako ngayon.,ASL,common_verbs
YOU MEET WHO TODAY,Who do you meet today?,Sino ang makikita mo ngayon?,ASL,question
THREE BOOK,Three books.,Tatlong libro.,MIXED,number
YOU FEEL SAD NOW,You feel sad now.,Malungkot ka ngayon.,FSL,emotion
YOU TELL LIE,You tell a lie.,Sinasabi mo ang kasinungalingan.,FSL,neutral
HE WILL HELP ME,He will help me.,Tutulungan niya ako.,FSL,common_verbs
NIGHT GOOD YOU,Have a good night.,Magandang gabi sa iyo.,ASL,greeting
YOU DO YOUR BEST,You do your best.,Ginagawa mo ang iyong best.,FSL,neutral
YOU MUST COME,You have to come.,Dapat kang dumating.,FSL,imperative
AFTERNOON GOOD,Have a nice day.,Magandang hapon sa iyo.,ASL,greeting
YOU GO WORK,You're going to work.,Pupunta ka sa trabaho.,FSL,place
I HAPPY TODAY,I am happy today.,Masaya ako ngayon.,FSL,emotion
HIS FAVORITE GREEN,His favorite is green.,Ang paborito niya ay berde.,MIXED,color
YOU GO HOME,You go home.,Uuwi ka.,FSL,place
YOU VERY SAD,You are very sad.,Napakalungkot mo.,FSL,emotion
I MUST GO HOME NOW,I have to go home now.,Kailangan kong umuwi ngayon.,FSL,place
YES GOOD,"Yeah, that's good.",Oo mabuti iyan.,MIXED,common_verbs
WHO YOU MEET TODAY,Who do you meet today?,Sino ang makikita mo ngayon?,FSL,question
HE EAT FOOD YESTERDAY,He ate yesterday.,Kumain siya ng pagkain kahapon.,FSL,common_verbs
I COUNT TWO,I'll count two.,Binibilang ko ang dalawa.,FSL,number
HER FAMILY HAPPY,Your family is happy.,Masaya ang kanyang pamilya.,ASL,people
THEY LIKE STORE,They like the place.,Gusto nila ang tindahan.,FSL,place
I LOVE YOU,I love you.,Mahal kita.,ASL,common_verbs
YOU STUDY SCHOOL,You're studying at school.,Nag-aaral ka sa paaralan.,FSL,place
I BUSY,I'm busy.,Abala ako.,FSL,neutral
YOU GET,You'll get it.,Nakukuha mo.,FSL,neutral
SCARED THEY HOME,You're scared at home.,Takot sila sa bahay.,ASL,emotion
I HAVE CAR,I have a car.,Mayroon akong kotse.,FSL,object_things
TODAY I PLAY,I'm playing today.,Ngayon naglalaro ako.,ASL,action
I HAVE MANY FRIEND,I have many friends.,Mayroon akong maraming kaibigan.,FSL,people
I NOT SURE,I am not sure.,Hindi ako sigurado.,FSL,neutral
HE JEALOUS OF SHE,He is jealous of her.,Nagseselos siya sa kaniya.,FSL,emotion
SHE SCHOOL TODAY,She's going to school today.,Pumupunta siya sa paaralan ngayon.,FSL,time
I COUNT ONE,I count one.,Binibilang ko ang isa.,FSL,number
I PROUD OF YOU,I'm proud of you.,Ipinagmamalaki kita.,FSL,emotion
NICE MEET YOU TODAY,Nice to meet you today.,Ikinagalak kong makilala ka ngayon.,MIXED,greeting
THEY NO COME,They're not coming.,Hindi sila darating.,FSL,neutral
I TALK FRIEND,I'll talk to my friend.,Nakikipag-usap ako sa aking kaibigan.,FSL,neutral
YOU WORK STORE,You work at the store.,Nagtatrabaho ka sa tindahan.,FSL,place
I GIVE ONE,I give one.,Nagbibigay ako ng isa.,FSL,number
HE AT HOME,He is at home.,Nasa bahay siya.,FSL,place
HE DO HIS BEST,He's doing his best.,Ginagawa niya ang kanyang best.,FSL,neutral
I AT WORK,I'm at work.,Nasa trabaho ako.,FSL,place
FIVE,Five.,Lima.,MIXED,number
PLEASE HELP,Please help.,Pakiusap tumulong.,FSL,imperative
YOU LIVE WHERE,Where do you live?,Saan ka nakatira?,ASL,question
THEY GO FARM,They go to the farm.,Pupunta sila sa bukid.,FSL,place
I PLAY YOU,I play with you.,Naglalaro ako kasama ka.,FSL,action
AFTERNOON YOU READ,In the afternoon you read.,Sa hapon nagbabasa ka.,ASL,action
I HAPPY PLAY,I am happy to play.,Masaya akong maglaro.,FSL,action
I SPEAK TRUTH,I speak the truth.,Nagsasalita ako ng totoo.,FSL,neutral
HE VERY ANGRY,He's very angry.,Napakagalit niya.,FSL,emotion
AFTERNOON WE EXCITED,In the afternoon we are excited.,Nasasabik tayo sa hapon.,ASL,time
RED I LIKE,I like red.,Gusto ko ng pula.,ASL,color
SHE STAY SCHOOL,She stays at school.,Nananatili siya sa paaralan.,FSL,place
HE UNDERSTAND EVERYTHING,He understands everything.,Naiintindihan niya ang lahat.,FSL,neutral
